player_id,stats_id,stats_value
11893,1,22622
11893,2,16458
11893,3,41.20%
11893,4,88
11893,5,3.6
11893,6,1020
11893,7,26803
11893,8,1.37
11893,9,0.84
11893,10,0.12
11893,11,0.61
11893,12,0.1
11893,13,0.12
11893,14,14196
11893,15,4152
11893,16,2592
11893,17,1.6
11893,18,1.28
11893,19,73.10%
11893,20,21.40%
11893,21,12607
11893,22,8195
11893,23,4087
11893,24,1474
11893,25,369
11893,26,71
11893,27,8261
11893,28,8552
11893,29,1290
11893,30,4262
11893,31,260
11893,32,49
11893,33,1.32
7998,1,35512
7998,2,26413
7998,3,41.30%
7998,4,86.4
7998,5,2.4
7998,6,1571
7998,7,41491
7998,8,1.34
7998,9,0.86
7998,10,0.1
7998,11,0.64
7998,12,0.08
7998,13,0.11
7998,14,22559
7998,15,6014
7998,16,3734
7998,17,1.61
7998,18,1.24
7998,19,75.20%
7998,20,20.80%
7998,21,18932
7998,22,13085
7998,23,6644
7998,24,2262
7998,25,504
7998,26,64
7998,27,14717
7998,28,13451
7998,29,901
7998,30,6057
7998,31,199
7998,32,254
7998,33,1.25
16920,1,18091
16920,2,12492
16920,3,27.80%
16920,4,78.6
16920,5,3.9
16920,6,884
16920,7,23451
16920,8,1.45
16920,9,0.77
16920,10,0.11
16920,11,0.53
16920,12,0.08
16920,13,0.11
16920,14,11950
16920,15,2705
16920,16,1383
16920,17,1.96
16920,18,1.15
16920,19,77.00%
16920,20,16.20%
16920,21,11501
16920,22,7416
16920,23,3208
16920,24,1075
16920,25,221
16920,26,30
16920,27,3791
16920,28,10580
16920,29,550
16920,30,3008
16920,31,175
16920,32,70
16920,33,1.26
20113,1,8738
20113,2,6397
20113,3,36.70%
20113,4,80.4
20113,5,3.4
20113,6,404
20113,7,10913
20113,8,1.37
20113,9,0.8
20113,10,0.1
20113,11,0.59
20113,12,0.09
20113,13,0.11
20113,14,5785
20113,15,1261
20113,16,727
20113,17,1.73
20113,18,1.13
20113,19,76.40%
20113,20,16.70%
20113,21,5128
20113,22,3598
20113,23,1549
20113,24,518
20113,25,112
20113,26,8
20113,27,2664
20113,28,4348
20113,29,181
20113,30,1459
20113,31,86
20113,32,40
20113,33,1.23
18835,1,8482
18835,2,6517
18835,3,30.90%
18835,4,80.2
18835,5,3
18835,6,404
18835,7,10701
18835,8,1.3
18835,9,0.79
18835,10,0.1
18835,11,0.61
18835,12,0.08
18835,13,0.1
18835,14,5488
18835,15,1309
18835,16,892
18835,17,1.47
18835,18,1.14
18835,19,76.10%
18835,20,17.30%
18835,21,5213
18835,22,3288
18835,23,1548
18835,24,524
18835,25,114
18835,26,14
18835,27,2545
18835,28,4412
18835,29,264
18835,30,1209
18835,31,52
18835,32,28
18835,33,1.22
8950,1,17675
8950,2,13384
8950,3,30.30%
8950,4,80.1
8950,5,2.9
8950,6,864
8950,7,22588
8950,8,1.32
8950,9,0.78
8950,10,0.11
8950,11,0.59
8950,12,0.08
8950,13,0.1
8950,14,11485
8950,15,2688
8950,16,1586
8950,17,1.69
8950,18,1.14
8950,19,76.50%
8950,20,17.00%
8950,21,11103
8950,22,6900
8950,23,3249
8950,24,1094
8950,25,216
8950,26,26
8950,27,4893
8950,28,9053
8950,29,577
8950,30,2834
8950,31,172
8950,32,203
8950,33,1.19
17306,1,14351
17306,2,10988
17306,3,34.70%
17306,4,79.3
17306,5,2.9
17306,6,686
17306,7,18284
17306,8,1.31
17306,9,0.78
17306,10,0.09
17306,11,0.6
17306,12,0.07
17306,13,0.1
17306,14,9383
17306,15,2480
17306,16,1469
17306,17,1.69
17306,18,1.21
17306,19,73.90%
17306,20,19.20%
17306,21,8901
17306,22,5669
17306,23,2677
17306,24,841
17306,25,175
17306,26,21
17306,27,4118
17306,28,7544
17306,29,253
17306,30,2266
17306,31,181
17306,32,49
17306,33,1.21
11271,1,18466
11271,2,14617
11271,3,27.80%
11271,4,79.3
