team,team_id
000nan,1
00NATION,2
0to100,3
100 Thieves,4
100PG,5
1337HUANIA,6
1WIN,7
3DMAX,8
3sUP,9
4glory,10
5POWER,11
5balls,12
9z,13
AA,14
ACG,15
AGF,16
AGG,17
AGO,18
ALTERNATE aTTaX,19
ANOX,20
ASAP,21
ATK,22
AVANGAR,23
AVANT,24
AVE,25
AVEZ,26
After,27
Aftershock,28
Airborne,29
Akuma,30
AliGon,31
AlienTech,32
AllGamers,33
Alpha Red,34
Ambush,35
Anonymo,36
Antic,37
Apeks,38
ArchAngels,39
Aristocracy,40
Arvum,41
Aster,42
Astralis,43
Astralis Talent,44
Athletico,45
B4,46
B8,47
BHOP,48
BIG,49
BIG Academy,50
BLINK,51
BLUEJAYS,52
BOOM,53
BOOT,54
BOOT-d[S],55
BTRG,56
Bad News Bears,57
Bad News Eagles,58
BakS,59
Bee's Money Crew,60
Berzerk,61
Beyond,62
BeyondPossible,63
BigGods,64
Binary Dragons,65
BlackOut,66
Boca Juniors,67
Born Of Fire,68
Bpro,69
Bravado,70
Bravos,71
Brazen,72
Breakaway,73
Budapest Five,74
Bushido Boyz,75
C4,76
CLG,77
CLG Academy,78
CLG Red,79
CPH Wolves,80
CR4ZY,81
CSGL,82
Carpe Diem,83
Case,84
CatEvil,85
Chaos,86
Chiefs,87
ChocoCheck,88
Cloud9,89
Complexity,90
Conquest,91
Control,92
Copenhagen Flames,93
Corinthians,94
Corvidae,95
Cossacks,96
Cyber Legacy,97
CyberZen,98
DBL PONEY,99
DETONA,100
DGG,101
DIVIZON,102
DREAM,103
Dark Sided,104
DarkPassage,105
Defusekids,106
DenDD,107
Denial,108
Deportivo,109
Detonate,110
Dignitas,111
Dire Wolves,112
Divine,113
Doge Soldiers,114
Dracarys,115
DreamEaters,116
E-frag.net,117
EC Brugge,118
EC Kyiv,119
ECSTATIC,120
EDG,121
EG.CD,122
EG.PA,123
EHOME,124
ELEVATE,125
ENCE,126
EPG,127
EPIC DUDES,128
ESC,129
EURONICS,130
EXTREMUM,131
EYEBALLERS,132
Echo Fox,133
Eclipse,134
Empire,135
EnVyUs Academy,136
Encore,137
Endpoint,138
Enemy,139
Enso,140
Enterprise,141
Entropiq,142
Envy,143
Enyoy,144
Epsilon,145
Escape,146
Espada,147
Eternal Fire,148
Evil Geniuses,149
Extra Salt,150
FATE,151
FIVE,152
FLET,153
FMESPORTS,154
FRENCH CANADIANS,155
FTW,156
FURIA,157
FURIA Academy,158
FaZe,159
Falcons,160
Fiend,161
Finest,162
FiveG,163
Flash,164
FlipSid3,165
Forcebuy,166
Fourteen,167
Fragsters,168
FreeTON,169
Freedom 35,170
FunPlus Phoenix,171
Funky Monkeys,172
Furious,173
G2,174
GODSENT,175
GORILLAZ,176
GOSU,177
GPlay,178
GRAFICIARZE,179
GUESS,180
Gaimin Gladiators,181
Galaxy Racer,182
Gale Force,183
Gambit,184
Gambit Youngsters,185
GameAgents,186
GamerLegion,187
GamerS1337,188
Gen.G,189
Genuine,190
Ghost,191
Giants,192
Golden Knights,193
GoodJob,194
Gorilla Gang,195
Gravity 0,196
Grayhound,197
Ground Zero,198
HAVU,199
HEET,200
HOLLYWOOD,201
HONORIS,202
HZ,203
Hard Legion,204
HellRaisers,205
Heretics,206
Heroic,207
High Coast,208
IHC,209
INDE IRAE,210
INTZ,211
Illuminar,212
Immortals,213
Immunity,214
Imperial,215
Impression,216
Infamous,217
Infinity,218
Into the Breach,219
Invictus,220
Iron Branch,221
Isurus,222
Izako Boars,223
Japaleno,224
Juggernauts,225
K23,226
K29,227
KILLERFISH,228
KJlACCHblE,229
KOVA,230
KTRL,231
Kanga,232
Keyd,233
Kings,234
Kinguin,235
Kinship,236
LDLC,237
LDLC White,238
LGB,239
LGD,240
LGR,241
LPSP,242
LZ,243
Lazarus,244
Legacy,245
Lemondogs,246
Leviatan,247
LiViD,248
Liberty,249
Lilmix,250
Liquid,251
London Conspiracy,252
Looking For Org,253
Los Grandes,254
Lucid Dream,255
Luminosity,256
Lyngby Vikings,257
Lynn Vision,258
MAD Lions,259
MASONIC,260
MIBR,261
MK,262
MOUZ,263
MOUZ NXT,264
MVP PK,265
MVP Project,266
MVP.karnal,267
Manatee,268
Maple,269
Masterminds,270
