team,team_id
00NATION,1
0to100,2
100 Thieves,3
100PG,4
1337,5
1337HUANIA,6
1WIN,7
3DMAX,8
3sUP,9
4glory,10
5POWER,11
5balls,12
777,13
9z,14
AA,15
ACG,16
AGF,17
AGG,18
AGO,19
ALTERNATE aTTaX,20
ANOX,21
ASAP,22
ATK,23
AVANGAR,24
AVANT,25
AVE,26
AVEZ,27
After,28
Aftershock,29
Airborne,30
Akuma,31
AliGon,32
AlienTech,33
AllGamers,34
Alpha Red,35
Ambush,36
Anonymo,37
Antic,38
Apeks,39
ArchAngels,40
Aristocracy,41
Arvum,42
Aster,43
Astralis,44
Astralis Talent,45
Athletico,46
B4,47
B8,48
BHOP,49
BIG,50
BIG Academy,51
BLINK,52
BLUEJAYS,53
BOOM,54
BOOT,55
BOOT-d[S],56
BTRG,57
Bad News Bears,58
Bad News Eagles,59
BakS,60
Bee's Money Crew,61
Berzerk,62
Beyond,63
BeyondPossible,64
BigGods,65
Binary Dragons,66
BlackOut,67
Boca Juniors,68
Born Of Fire,69
Bpro,70
Bravado,71
Bravos,72
Brazen,73
Breakaway,74
Budapest Five,75
Bushido Boyz,76
C4,77
CLG,78
CLG Academy,79
CLG Red,80
CPH Wolves,81
CR4ZY,82
CSGL,83
Carpe Diem,84
Case,85
CatEvil,86
Chaos,87
Chiefs,88
ChocoCheck,89
Cloud9,90
Complexity,91
Conquest,92
Control,93
Copenhagen Flames,94
Corinthians,95
Corvidae,96
Cossacks,97
Cyber Legacy,98
CyberZen,99
DBL PONEY,100
DETONA,101
DGG,102
DIVIZON,103
DREAM,104
Dark Sided,105
DarkPassage,106
Defusekids,107
DenDD,108
Denial,109
Deportivo,110
Detonate,111
Dignitas,112
Dire Wolves,113
Divine,114
Doge Soldiers,115
Dracarys,116
DreamEaters,117
E-frag.net,118
EC Brugge,119
EC Kyiv,120
ECSTATIC,121
EDG,122
EG.CD,123
EG.PA,124
EHOME,125
ELEVATE,126
ENCE,127
EPG,128
EPIC DUDES,129
ESC,130
EURONICS,131
EXTREMUM,132
EYEBALLERS,133
Echo Fox,134
Eclipse,135
Empire,136
EnVyUs Academy,137
Encore,138
Endpoint,139
Enemy,140
Enso,141
Enterprise,142
Entropiq,143
Envy,144
Enyoy,145
Epsilon,146
Escape,147
Espada,148
Eternal Fire,149
Evil Geniuses,150
Extra Salt,151
FATE,152
FIVE,153
FLET,154
FMESPORTS,155
FRENCH CANADIANS,156
FTW,157
FURIA,158
FURIA Academy,159
FaZe,160
Falcons,161
Fiend,162
Finest,163
FiveG,164
Flash,165
FlipSid3,166
Forcebuy,167
Fourteen,168
Fragsters,169
FreeTON,170
Freedom 35,171
FunPlus Phoenix,172
Funky Monkeys,173
Furious,174
G2,175
GODSENT,176
GORILLAZ,177
GOSU,178
GPlay,179
GRAFICIARZE,180
GUESS,181
Gaimin Gladiators,182
Galaxy Racer,183
Gale Force,184
Gambit,185
Gambit Youngsters,186
GameAgents,187
GamerLegion,188
GamerS1337,189
Gen.G,190
Genuine,191
Ghost,192
Giants,193
Golden Knights,194
GoodJob,195
Gorilla Gang,196
Gravity 0,197
Grayhound,198
Ground Zero,199
HAVU,200
HEET,201
HOLLYWOOD,202
HONORIS,203
HZ,204
Hard Legion,205
HellRaisers,206
Heretics,207
Heroic,208
High Coast,209
IHC,210
INDE IRAE,211
INTZ,212
Illuminar,213
Immortals,214
Immunity,215
Imperial,216
Impression,217
Infamous,218
Infinity,219
Into the Breach,220
Invictus,221
Iron Branch,222
Isurus,223
Izako Boars,224
Japaleno,225
Juggernauts,226
K23,227
K29,228
KILLERFISH,229
KJlACCHblE,230
KOVA,231
KTRL,232
Kanga,233
Keyd,234
Kings,235
Kinguin,236
Kinship,237
LDLC,238
LDLC White,239
LGB,240
LGD,241
LGR,242
LPSP,243
LZ,244
Lazarus,245
Legacy,246
Lemondogs,247
Leviatan,248
LiViD,249
Liberty,250
Lilmix,251
Liquid,252
London Conspiracy,253
Looking For Org,254
Los Grandes,255
Lucid Dream,256
Luminosity,257
Lyngby Vikings,258
Lynn Vision,259
MAD Lions,260
MASONIC,261
MIBR,262
MK,263
MOUZ,264
MOUZ NXT,265
MVP PK,266
MVP Project,267
MVP.karnal,268
Manatee,269
Maple,270
Masterminds,271
Max&BigGarlicDips,272
MayBe,273
Mazaalai,274
Method,275
MiTH,276
Miami Flamingos,277
Misfits,278
Monolith,279
Monstars,280
Moralezz,281
Movistar Riders,282
Mythic,283
NAVI Junior,284
NAVI Youth,285
NIP,286
NKT,287
NOREG,288
NRG,289
NSPR,290
Natus Vincere,291
NeedDOCTOR,292
Nemiga,293
Neon Rangers,294
New England Whalers,295
New Identity,296
New4,297
NewBelarus,298
Nexus,299
No Problem!,300
NoChance,301
Nordavind,302
North,303
North Academy,304
Não Tem Como,305
OCG,306
ODDIK,307
OFFSET,308
OG,309
OG Academy,310
ONET4P,311
ONYX,312
OPAA,313
ORDER,314
Oilers,315
Old Guys Club,316
OneThree,317
OpTic,318
Orbit,319
Orgless,320
Outlaws,321
Outsiders,322
PACT,323
PANTHERS,324
PENTA,325
PLINK,326
PRIDE,327
